Center Name,Website,City,Email,Phone,Details
Centro de Recuperaciónn de Fauna Silvestre de GREFA,http://www.grefa.org/,Madrid,grefa@grefa.org,916387550 / 916387411,"Aptdo. de Correos 11, 28220Majadahonda. Madrid | Tel. 916387550, Fax. 916387411 | grefa@grefa.orghttp://www.grefa.org/ | Contacto: Ernesto Álvarez Xusto"
BRINZAL Centro de Recuperación de Rapaces Nocturnas,http://www.brinzal.org,Madrid,brinzal@brinzal.org,670933240 / 914794565 / 670933240,"Albergue Juvenil Richard Schirrmann | Casa de Campo, s/n, 28011 Madrid | Apdo. de Correos 150.104 | 28080 Madrid | Móvil de guardia: 670933240 | Tel y Fax. 914794565 / 670933240 | brinzal@brinzal.orghttp://www.brinzal.org | Contacto: Raúl Alonso"
Centro de Recuperación de Especies Protegidas de Buitrago de Lozoya,,Madrid,mmontijano@eresmas.com,91 868 04 96 / 91 580 38 78,"Consejería de Medio Ambiente de la Comunidad de Madrid | C/ Princesa, nº 3, 8ª planta 28008Madrid | Tlfno.: 91 868 04 96 (CREP) / 91 580 38 78 (Consejería de Medio Ambiente) | mmontijano@eresmas.com | Persona de contacto: Pilar Lanzarot | mplanzarot@mx4.redestb.es"
Centro de Naturaleza y Recogida de Fauna Herida CAÑADA REAL,,Albacete,pespan@eresmas.com,918906980 / 918900451 / 925 45 50 04 / 967 52 00 62 / 926 23 14 00 / 969 17 83 00 / 949 21 059,"Contacto: José España Báez | Ctra. M-533- Km. 1.600;Peralejo- El Escorial-.28211 Madrid. | Tel. 918906980/ Fax: 918900451 | pespan@eresmas.com | Castilla-La Mancha | Toledo | Centro de Estudios de Rapaces Ibéricas(CERI) | Centro Regional. Sevilleja de la Jara | 925 45 50 04 | Albacete | Centro de Recuperación. Carretera de Ayora, km 2. Albacete. | 967 52 00 62 | Ciudad Real | Centro de Recuperación ""El Chaparrillo"". Carretera a Porzuna,km 4. Ciudad Real. | 926 23 14 00 | Cuenca | Centro de Recuperación ""El Ardal"". Albendea, Priego. Cuenca. | Teléfono: 969 17 83 00 | Guadalajara | Mini-Zoo municipal. Guadalajara | 949 21 059 | Castilla y León (Los Centros de Recuperación y Recepción de Animales )"
"Centro de Recuperación de Animales Silvestres ""Los Guindales""",,,alaaleol@jcyl.es,947461189,"Persona de contacto: Olga Alarcia | Vivero los Guindales. Ctra. de Valladolid, Km 3.9. 09001Burgos | 947461189 | alaaleol@jcyl.es"
"Centro de Recuperación de Especies Protegidas ""Las Dunas""",,,teresa.tarazona@sajcyl.es,923296026 / 923296041,Persona de contacto: Teresa Tarazón | Servicio de Medio Ambiente | C/ Villar y Macías. 37071Salamanca | Tel. 923296026/Fax. 923296041 | teresa.tarazona@sajcyl.es
"Centro de Recuperación de Animales Salvajes ""Los Lavaderos""",,,Cacharrocaccarel@jcyl.es,921433340 / 921417430 / 921417200,Persona de contacto: José Lara Zabía | Crta. de Arevalo s/n.Zamarramala.40196Segovia | Tel. 921433340 / Oficinas: 921417430 | Fax: 921417200 | Técnico: Elisa Cacharrocaccarel@jcyl.es
Centro de Recuperación de Aves de Valladolid,,,diepozma@jcyl.es,983249862 / 983414464,"Persona de contacto: Matías Diez | Cañada Real, nº 222. 47008Valladolid | Tel. 983249862/Fax: 983414464 | diepozma@jcyl.es"
Centro de Recepción de Fauna de Avila,,,NicolasGonzalez@auv.jcyl.es,920355001 / 920208296,"Persona de contacto: Nicolás González | Vivero Forestal ""El Alamo"". | Calzada de Niharra, s/n,Ávila | Tel. 920355001 (Oficinas)/Fax: 920208296 | NicolasGonzalez@auv.jcyl.es"
Centro de Recepción de Fauna de Valsemana. León,,,Juan-jose.martinez@le.jcyl.es,987694219 / 987296168 / 987296125,"Persona de contacto: Juan José Martínez | Centro de Valsemana,24152 Lugán.León | Tel.987694219 / 987296168/ Fax: 987296125 | Juan-jose.martinez@le.jcyl.es"
